# playerId|nick
1444298|Блудя
470235|keary
538536|oks@n@
2180527|Ядовитый
987861|ПернатыйСпецназ
1262131|SergeiS
2415393|Труп
2107843|Lynx
884172|_RemI_
949359|Lambretto
513672|4(e)rten(o)k
2440561|Димасяо
2443731|Legion Commander
2457515|КОПАТИК
2350174|Покоритель Вавилона
1388057|чёрный барс
1927857|~~PrizraK~~
1681089|~AdidaS~
1596675|theYo
1589320|Faceless
611516|Баракуда
2375096|SiaNiK
2031444|disrupter
503467|Кунг-фу
2462103|Inkerman
1622158|Субаровод
1698590|Ириска
2347512|04k0v0
1406315|~Сладенький~
478327|demondic
1529938|~_SpiRiT_~
2121607|Twister
1317988|ONE
2456708|elsy
2233627|AnechkaBlondy
1350567|Грешный Маг Света
493474|$WOODY$
2451816|Психопатка
743990|Search
1847052|рим
1916402|Anti-mage
1086245|just_me
1497553|~ORK~
2462051|ValDisere
1265884|***WTF***
2431753|Морская царица
2459318|Аврора
2459270|Волколак
2156584|SHKIPER
2451741|Wild Rose
1446029|Котигорошко
2459166|Help Bringer
353107|Life vs Death
2363664|Vredina
1133101|-Shrek-
748020|*XuLIgaN*
2458894|sooon
1836486|С е р г е й
2356039|abeba
2132610|Tolstya4oK
2461850|Loreal
2154402|angel_of_love
464178|Strunnik
602569|игорян
2452369|SLOT
2458099|sweet_dream
2453195|Eugenia
2315911|_Salvatore_
2436822|Brunette
2304152|Tematxo
2442729|Kaktus_v_uho
1162803|BOOTCH
2434733|Keyris
2462108|Вики
1037910|~ВладыКа~
2251886|Sweet_in_Sky
2422484|elus1ve
2443014|Товарищ Капитан
2420994|Memphis
2434305|Tammy Abraham
745004|-Exit-
1566763|Н_А_Т_У_С_И_К
2150341|Bato
2435111|AureliuS
2423268|!страж!
2103104|feniks
847984|H0t@6!4
1021620|skotina
2425253|DIDO
2434244|Marcelo
2442333|~Ruslan~
2427333|Mad
137201|FIREDOM
2427674|Mizuhara
748349|~SoN~
452952|DKRTV
707322|WinneR!!!!!
2442537|Toyota
2335984|MOBY^DIKT
1909578|Изгнаник из Рая
947094|КНЕХТ
1680470|Zergi
2444595|Spotify
733050|Dlinniy
1088610|Pegas
707166|КаТаЛ0НеЦ
2461664|HeavenlyLight
2355515|Xa4
1924833|yee
747883|Rave
175277|чУда Ф перЬях
2442671|VeroniA
2037012|JoliE
1974916|klaas
822382|^SunBlack^
457218|Виталий Вячеславович
2338197|Zac
2417932|Captain
2435775|FairySan
2433373|Guenhwyvar
1905132|AgreS
2333245|ВСАА
2078748|~FEAR~
683440|POLYACK
1307798|$uh@rik
1024504|DAF 85
1280747|Mal(ap
1571013|Мастер_Ломастер
2050896|Lady-killer
2423411|Shimito
2401371|FenomeN
448790|~MesseR~
1340698|*Dzudz*
938667|Паладин
1429113|7 чекушек
2315057|Like_A_Boss
239874|Folmagaut
424263|KPAX
1416752|WaZzzup
1533326|Suppression
2365121|Sovet
1261997|-Тёмный мечник-
2452091|НочнаяФурия
2149595|Top Gear
1706001|Black Demon
2324311|Les
2458938|~Dust~
2438193|Cho
513584|Dimm
1963901|DVSP
1661788|Бог Земли_
781007|Sahsa2
829227|Promiscuous Boy
2451272|slimmy
2451247|Amorniik
2440456|TyC9l
2362466|gaz
2441497|Kriste
2410801|Геннадьевич
2422552|Hennecke GmbH
2421528|Reitz
501307|Чина
1706759|I7aDoHoK
7763|NaiKoN
2424775|kuprian
2438749|Don_Digidon
2362171|*Ricardo*
2461684|Chameleon
2422944|sloboda2
2275377|white power007
1370428|((S@T@N@))
1440387|Умора
1945690|фанатик
2077293|rifmopljot2
2418829|daiva
2424060|Disruptor
2441357|Merissa
2443861|Shamo
2444243|Тигруля
2444413|Ragdoll
2453202|Starman
2455915|La femme fatale
2461408|-ZaNoZa-
2363420|Nikoletta
2031534|Предводитель
2085294|Troffi
2167993|Remidos
2457488|-CV-
2459425|dload
2465234|Дигги
1573472|JIe4Y
2445878|RedDragon
1054684|Chealsea
2186616|Viazik
2286869|Тетраграмматон
14990|DRACULA
518565|Alonso
1554451|ТёМнЫй РыЦаРь
2462201|Димас
658879|Scorion
957883|nikotin bbc
1137209|Slamchek
1212470|dont cry
1329306|Титикака
2003867|_strelets_
2145521|Бобчег
2329796|плохая девочка
2348079|сладкая
2353905|FCDD1918
2425444|MrChumA
2431214|Heinz
2433016|Emperio-vrn
2438220|MishaDubina
2445916|-OLEGON-
697078|магистр букв
1693235|Хитрая
1838598|belo4ka
1919223|Malor
1951068|Леди Страсть
1971480|*Doom*
2432220|rghost
2443611|ismv_s
2425212|Just For Fun
1698703|Hallo999
1805182|VV
2090647|HunT3R
2326468|*~I am angel~*
2434008|Жруня)
2434167|pet
2445987|Marakoshka
2459787|N@dyuwa_Kim
2445227|amstyle
2458876|Vanguard
2458880|0xoTHuK
2457842|Машка
2326494|TimeKill
2445840|Celestial Witch
2418943|~ДжОлька~
792645|--HennesI--
2395242|*Т_Е_Н_Н_Ь*
2421647|Nagibator
2452476|Nubikus
2444992|Daredev1L
1791141|(maestro)
574911|~~СВОЛОЧЬ~~
1838144|@DESSAR@
2104113|KRUTOI
441408|ЗмейИскуситель
2350547|Боевой Агент
2455516|ЗлоПамятныЙЧеЛ
439973|*Bukyc9I*
103275|McD
698619|Goodie - drevniy elf
794948|Деви Джонс
960744|Дима_686
1067547|Хитрец
1250042|Хой
1601980|SPAMER
2070655|BarABaHka
2121089|NoS FighteR
2169702|Jekkyl
2183120|Директор Морга
2240033|Night Mare
2321048|Волджин
2359791|Молдованин
2415869|Elweezy
2417555|Zays
2419516|Gromila Nick
2425816|Линок
2442727|Сонечко
2443613|WindMaster
2457760|Agato4ka
2459375|IronFire
2461598|EugeneTheWinner
2462055|Observer
2340241|Denton
2454727|Soliha
580458|Последний Дозорный
966175|Magix
1287532|~SpartaK~
1430185|~Iron~
2425363|Безрукий мастер
2434613|Dissimilate
2439768|Koteyka
2433386|~Mozzzevelnik~
1701679|nachniki
2167043|igoryan
2410792|Entertainment
2455794|БаронФонБух
1286911|Селис
1419233|monkery
1888152|Рядовой Табуреткин
1953022|Sijey
2247162|Носферату
2375790|Fantasy
2385780|Тёмный алхимик
2451532|Chani Kynes
2453167|AKASHI
60512|Apostol
231702|ANGEL_DARKNESS
303017|ДикийШторм
725019|Одинокий Панк
752596|King Bulbaz
1076271|Verritas
1329331|Вспомнить Всё
1505937|Белое ЦиплятКО
1779452|Elleshar
2132667|KeIIIa cMakTyHoBckuu
2159872|Дакота
2176587|6o111Ka
2240415|zoomka*
2293103|ОхотниК-АвантюрисТ
2342400|Kpoc
2372500|Atlas
2416653|Мизантроп
2416715|Амелия
2434203|Василина
2444838|DreamMachine
2446502|LOST
375091|Paracelsus
2261575|*sharki_baton*
1982577|~ShaDoW~
2374419|Кариша
1866968|АрБуС*
402043|РОТАНИМРЕШ
2455989|MaJlouu
403683|Ангел Судьбы
480218|LEXX OF DARKNESSSS
569026|$sven$
701297|Просто Вася
1568902|Cimpoi
1936846|Lonely Demon
2063171|palia
2165346|Illidan
2337876|-Hexo4yxa-
2371275|Нарушитель
2415614|Alandriel
2439070|BOUDREAULT
572657|~Man Of War~
2442770|Бусинка
2368329|bingo_boss
2015641|_Zheka_
2428100|NeuroHunter
2429499|Los Band
2457986|Эмма
2431535|Blekpeper
1140283|~*KRRISH*~
1482672|~~~Смерть~~~
2438801|ANTONY
2312957|_KiTaEC_
745796|The Perfect Killer
1138552|dj@blero
2457072|HenK
2433318|FaraKaello
183402|FENDER
1821947|~knopichka~
2304857|Roneo
923136|Muhamed_mc
2121315|ZabaNen
2020948|$angel_kiler$
2280746|Lares
1300288|Alex_X
474812|Agent Fox Mulder
2445191|Cold
124353|Zen78
697909|T-Mobille
1225110|CMEPTHUK
79842|mihailmch
1660757|Bl@ckJ@ck
2237726|Матумба
2165197|мозг
2443017|Ancient Mage
2455855|Панночка
902850|макене
2434002|Дуняша
936430|fulk
2461974|Саныч
2158433|Play ME
2455168|Булк@
2422541|ice_fox
2445048|Wonder_Woman
1424661|Алёшка
2210774|Svet@
1402063|Пьяный Рыбак
2350336|гримм
2446501|heimdal_90
2442965|zEE
476629|pokemon4ik1
489407|***SHERZOD***
710509|**АНТИХРИСТ**
1097846|KoreanBoy
1168242|MVGG
1421907|Дьяволёнок
1790808|Vist
1504774|*Professional*
1992052|C@$PER
2423073|*АНТОНИО*
2415940|kcypin
2434593|Da Que Deus
2441451|Череп Гризли
2442634|Hronos
2445181|Валькирия
2455820|Doomsday
517793|ВАЛЬДЕМАР
2458170|воин тьмы
927458|SOG
1634897|Princesco
2039172|Sexual^Preference
2444299|Godforsaken
1862392|~psk~
883816|Денис Угроза
565407|~lusik~
2433201|Ol4ik
669034|Corben
103440|austre
1293774|StanislaF
2455699|Капитан ЧПокунь
2461919|Мармеладка
2390569|TATTOO
2179584|spartak~bazuka
2072889|Юличка
97614|Gomgalde
2441253|Leonion
2089515|Самка_БоевогоКролика
1327436|tigra_rock
1534889|Kiss__k@
1705390|Шурик Шурикович
2443753|Idanaki
2462027|JeenGoo
2451736|Трап
2004768|R3b3l
2314283|Шарвили
2172195|Lusia
2411050|malek213
2459867|Uchiha Itachi
2441289|Maybe
2436105|Nefertiti
2423807|VolchaRRRaaa
1798697|Derby
1623282|Лорд Асседо
572153|~~GrIndeRs~~
2451199|-warapci-
2451224|ЗажиганиЕ
2421453|Ненавесть
1924751|Blade runner
1834575|Calypso
2123229|vcosmos
1289727|Kpoxa
2074232|ужас
770511|Roberto Baggio
2263251|C-BLOCK
1825349|***КаРаМеЛьКа***
2325706|-Vov4iK-
1672233|Ириша
2255890|Meed_to_night
2346578|Dominator
1802115|Inspector
1768541|AnGeL_OF_DeAtH
2334570|zapar888
1785777|Mpako6eC
2427375|Старина
2459059|akvaminerale
2457908|имп-помощник
1869773|~BlockeR~
828602|меняющий облик
2422731|Vlada
1641321|*Оникс*
2437327|Vendetta*
709090|*КРОМ 686*
2462132|SnLee
1837821|AlMax
2389762|Koma28
1096636|kactaTi
905891|DooDLeZ
2451108|Funnydays
2286820|Citizen
2327809|KuRsAnTKa
2462404|Боевой Колобок
776313|Преспешник Смерти
2465243|(Боевой Пельмень)
2459304|Oasis
2459277|Злая Зая
606286|Рыбовод25
338599|!!Странник!!
2081353|Chaiftain
2113540|by_korean
2149379|!Я_полностью_твоя!
2357762|AdvanceFortune
2442399|tonechka
2444189|slark
2444960|РыбаКонь
2455187|~PaNika~
2457630|-OlaF-
2458939|1235c4
2462085|Первый После Бога
2457012|Арам
78335|***KodenoK***
728871|Berlioz
2459200|Giselle
376079|natalimalfoy
1523895|Мертвая
1917136|Малинка
2058062|Мертвый
2432878|Злой
1733|SEKA
91830|aLESHik
423518|KARDI_NAL
452042|SDC
464273|life_illusion
492141|God_SuN
665240|Жирный_Рыб
971839|Буселька
948827|pro100 5ock5
1000730|XAOC_chronicler
2434746|АНушКА
1070630|-орхангел-
1229920|Дима Маг
1498314|Jimmi Tyulpan
1653424|Co$mos
1876952|v!snea7
1946513|-С-у-М-е-Р-к-
1966345|Skeleton
2162286|Февраль
200619|Usermoon
2166037|~BuGay~
687369|Daymi
2315021|RossH^
2330972|Уруру
789174|KpuBou*
2341184|Вольтик
569453|olegonchik
2361033|auready
2376024|The Void
1537756|timon_e
2426281|Giana
2010496|camyrai
1599828|Масис Сар
2427131|God of Darkness
2423186|tremmi
2432887|Lilito4ka
1676815|_kill_
2459199|Chow
2459201|Vellaska
2030203|mander
2091129|Жемчужина
2178543|-Marina-
2265804|Crazyyyy
2295339|Паломник
2305719|Vetus
2315699|Безголовый Джек
2352720|RaiSKaTe
2357849|Древняя
2367663|Логан
2401965|Мрачный
2006050|pablo diablo
2420654|Темная
2442351|Event
2451148|Мертвый Мастер
2461717|Nilufer91
2427316|MaRRRy
2327074|7hePro
146011|Rukas
1678311|Сократ
2428021|PinaColada
1009325|KokkI
2441182|Jormungand
1323322|Atamansha
2461633|Ольга
1932856|Sh00teR
419252|Буритос
794340|Вакх
701756|~Rith~
2301814|O_@
2308715|AnpeJIb
230967|Lexed
562963|~Геката~
2441407|Саммаэль
860853|DAKO
1862629|(~ХИЩНИК~)
433847|Грудноймладенец
2016934|DaCho
35829|Heimdall
2262762|~DoktorMag~
3363|ANDREEEEEEE
314870|Dark Arrow
1319301|Гнел
2442187|KissKa
877076|Беспечный Странникъ
2138766|~Nice~
2362218|Guy
2419415|Co@Ch Tyler
2428117|snakerko
2434264|K_I_N_G
2455695|JuliaT
2459202|Zeratu
2238662|Alp
822265|BabyFaces
1573267|Bmw Oracle
2134818|Welw@
2438928|Kinder_Tasha
1672550|S@kr@menT
523064|~v1ru5~
462842|Evil Dream
2017670|!пенсионер!
1383886|(A-n-o-n-i-m)
2434396|Tevtonec
2235245|***_StepDeath^by_***
2357200|RamzesII
2385405|Ya_sam
2376025|MegaTron
137917|SaintDog
2436925|LIZA
918077|Сиськи
946815|Karvolan
1281880|Повелитель Тьмы
1435832|Клубничный
1591472|JOSS
1623099|Золотце
1634635|~TAURUS~
1748147|MeDvEdb
1807542|RomoeJkeee
1836004|KOMRAT
1384690|Трама
2431242|Форсакен
2360405|КрасаУчег
2442313|Бледная
2434231|Зловещий
390402|Stolichniy_Stil
2375220|kaast
1647845|~Шаман~
2157034|Playstation*
2253216|Feldsher
2353662|СТАРИЧОК
2420236|-LEIL-
2433403|TorM1N
2440091|NoBILiS93
2441418|Павер
2442358|Diablo
2444882|(Floki)
2443790|*Ядовитая бабочка*
2445124|-ТочКа-
2096457|***Хранитель силы***
2459020|Эстарион
234720|Pazuzu
841677|WHITE SNAKE
945675|trimer
2109461|TheGoodMan
2301215|Julja-Lja
2340220|~BadGirl~
2461883|ТиТя(-)
1838815|*K@B@N*
2441626|-Настя-
2457923|Скоро узнаете
2427784|KiraYan
2461617|Zztop
2435994|MERCI
117449|SPSS
2432336|Axmetius
2422546|botka4a
2451611|Legos
2298189|fnatic
2461983|ник в отпуске
1021663|*Genius*
484971|Mazulis
1236617|Гриббо
2071038|*Master*xD)
1950057|CmErTb
2423830|*Костянчик*
2451608|Strayker
2121110|Queen
2434905|chrek
1832419|100Pydov
237142|Пигу
2454205|блайд
2136325|Ma4ete
2462088|~Somebody~
2153088|D1ieHarD
170010|Kostya62rus
1308066|$H@Rik
1315431|-Eugen-
